Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6s8t_124081876_uff_E=621.81,-7.6,0.0,0.0
6s8t_124081876_uff_E=621.81,-7.2,4.575,3.239
6s8t_124081876_uff_E=621.81,-7.1,26.28,24.65
6s8t_124081876_uff_E=621.81,-7.1,6.219,4.141
6s8t_124081876_uff_E=621.81,-6.9,63.055,59.917
6s8t_124081876_uff_E=621.81,-6.8,32.421,30.627
6s8t_124081876_uff_E=621.81,-6.7,63.178,60.079
6s8t_124081876_uff_E=621.81,-6.6,18.703,17.176
6s8t_124081876_uff_E=621.81,-6.6,42.918,40.367
6s8t_154234_uff_E=385.73,-7.1,0.0,0.0
6s8t_154234_uff_E=385.73,-6.6,3.181,2.262
6s8t_154234_uff_E=385.73,-6.0,3.65,2.136
6s8t_154234_uff_E=385.73,-5.9,18.458,16.108
6s8t_154234_uff_E=385.73,-5.9,4.919,3.305
6s8t_154234_uff_E=385.73,-5.8,5.072,3.327
6s8t_154234_uff_E=385.73,-5.7,4.006,2.857
6s8t_154234_uff_E=385.73,-5.6,6.43,3.112
6s8t_154234_uff_E=385.73,-5.6,19.088,16.856
6s8t_60855_uff_E=229.52,-6.7,0.0,0.0
6s8t_60855_uff_E=229.52,-6.4,4.71,2.266
6s8t_60855_uff_E=229.52,-6.4,5.379,3.422
6s8t_60855_uff_E=229.52,-6.4,38.596,36.698
6s8t_60855_uff_E=229.52,-6.2,29.033,27.136
6s8t_60855_uff_E=229.52,-6.1,29.811,27.2
6s8t_60855_uff_E=229.52,-5.9,30.254,27.025
6s8t_60855_uff_E=229.52,-5.8,45.092,41.98
6s8t_60855_uff_E=229.52,-5.7,25.059,23.264
